iter	Passed	Remaining
0	8502	8493816
1	8587	4285256
2	8660	2878024
3	8700	2166419
4	8703	1731904
5	8710	1443033
6	8713	1236028
7	8715	1080732
8	8717	959946
9	8720	863331
10	8724	784369
11	8726	718459
12	8744	663908
13	8747	616048
14	8749	574558
15	8752	538248
16	8755	506266
17	8757	477788
18	8760	452302
19	8762	429369
20	8765	408618
21	8767	389754
22	8778	372909
23	8781	357103
24	8785	342635
25	8788	329225
26	8790	316792
27	8793	305247
28	8795	294499
29	8797	284467
30	8801	275122
31	8876	268527
32	8878	260171
33	8880	252306
34	8883	244934
35	8885	237939
36	8887	231316
37	8889	225043
38	8891	219097
39	8893	213447
40	8899	208167
41	8902	203056
42	8904	198185
43	8907	193539
44	8917	189250
45	8919	184992
46	8921	180902
47	8924	176994
48	8929	173299
49	8931	169702
50	8934	166245
51	8936	162920
52	8938	159720
53	8944	156686
54	8946	153719
55	8948	150850
56	8950	148078
57	8952	145399
58	8954	142813
59	8956	140318
60	8965	138009
61	8968	135679
62	8970	133419
63	8976	131274
64	8978	129153
65	8980	127086
66	8982	125078
67	8983	123127
68	8985	121235
69	8986	119396
70	8991	117643
71	8992	115908
72	8994	114222
73	8996	112583
74	8998	110982
75	9000	109426
76	9002	107913
77	9007	106470
78	9009	105030
79	9010	103625
80	9012	102255
81	9014	100916
82	9015	99601
83	9017	98329
84	9022	97119
85	9023	95903
86	9025	94714
87	9027	93555
88	9029	92423
89	9031	91318
90	9033	90232
91	9036	89191
92	9038	88150
93	9040	87132
94	9041	86135
95	9043	85159
96	9045	84203
97	9046	83267
98	9048	82348
99	9052	81470
100	9053	80588
101	9055	79724
102	9057	78876
103	9058	78044
104	9060	77228
105	9061	76428
106	9063	75643
107	9067	74886
108	9068	74129
109	9070	73386
110	9071	72655
111	9073	71939
112	9075	71235
113	9076	70542
114	9078	69863
115	9081	69206
116	9082	68548
117	9084	67905
118	9086	67272
119	9089	66655
120	9091	66041
121	9092	65434
122	9094	64841
123	9098	64273
124	9099	63699
125	9101	63133
126	9102	62572
127	9105	62028
128	9240	62391
129	9242	61852
130	9246	61335
131	9247	60811
132	9249	60295
133	9251	59787
134	9252	59286
135	9254	58793
136	9256	58306
137	9257	57827
138	9261	57366
139	9262	56899
140	9264	56440
141	9265	55984
142	9267	55537
143	9268	55097
144	9270	54663
145	9271	54234
146	9275	53821
147	9277	53406
148	9278	52995
149	9280	52590
150	9282	52190
151	9284	51795
152	9285	51405
153	9287	51021
154	9291	50653
155	9293	50279
156	9295	49910
157	9297	49549
158	9299	49188
159	9301	48832
160	9302	48476
161	9305	48134
162	9307	47795
163	9309	47455
164	9311	47119
165	9313	46791
166	9315	46464
167	9317	46142
168	9319	45826
169	9322	45517
170	9326	45216
171	9329	44913
172	9332	44611
173	9337	44326
174	9339	44030
175	9341	43735
176	9343	43443
177	9344	43153
178	9346	42867
179	9347	42585
180	9352	42318
181	9354	42043
182	9356	41770
183	9358	41501
184	9359	41234
185	9361	40970
186	9363	40709
187	9368	40462
188	9370	40207
189	9371	39954
190	9373	39703
191	9375	39454
192	9376	39208
193	9378	38964
194	9382	38733
195	9384	38495
196	9386	38258
197	9387	38024
198	9389	37792
199	9390	37563
200	9392	37335
201	9393	37110
202	9396	36892
203	9398	36674
204	9401	36459
205	9403	36244
206	9405	36031
207	9407	35819
208	9408	35608
209	9410	35400
210	9413	35201
211	9415	34998
212	9417	34795
213	9418	34594
214	9420	34395
215	9422	34198
216	9423	34003
217	9429	33823
218	9430	33631
219	9432	33441
220	9433	33253
221	9435	33066
222	9437	32881
223	9438	32698
224	9440	32517
225	9443	32342
226	9445	32164
227	9446	31986
228	9448	31812
229	9450	31638
230	9452	31466
231	9454	31296
232	9455	31127
233	9458	30962
234	9460	30795
235	9461	30630
236	9463	30466
237	9464	30303
238	9466	30141
239	9468	29982
240	9472	29833
241	9474	29676
242	9476	29520
243	9477	29365
244	9479	29211
245	9480	29059
246	9482	28907
247	9483	28757
248	9487	28613
249	9489	28469
250	9491	28324
251	9493	28179
252	9495	28035
253	9497	27892
254	9498	27750
255	9502	27617
256	9773	28255
257	9775	28112
258	9776	27971
259	9780	27837
260	9782	27698
261	9784	27560
262	9786	27424
263	9788	27288
264	9789	27152
265	9791	27018
266	9795	26891
267	9797	26759
268	9799	26628
269	9800	26497
270	9802	26368
271	9803	26239
272	9805	26111
273	9807	25984
274	9810	25865
275	9813	25741
276	9814	25617
277	9816	25494
278	9817	25371
279	9819	25250
280	9821	25129
281	9822	25009
282	9826	24896
283	9828	24778
284	9829	24661
285	9831	24544
286	9833	24429
287	9835	24314
288	9836	24200
289	9838	24088
290	9841	23978
291	9843	23867
292	9845	23756
293	9846	23645
294	9848	23536
295	9850	23427
296	9851	23319
297	9853	23212
298	9855	23106
299	9857	23000
300	9858	22894
301	9860	22790
302	9862	22685
303	9863	22582
304	9865	22479
305	9866	22377
306	9870	22281
307	9872	22181
308	9874	22082
309	9877	21984
310	9879	21886
311	9880	21787
312	9882	21690
313	9886	21598
314	9888	21503
315	9890	21408
316	9892	21314
317	9894	21219
318	9896	21126
319	9899	21036
320	9901	20943
321	9902	20851
322	9904	20759
323	9905	20668
324	9907	20577
325	9909	20487
326	9910	20397
327	9914	20312
328	9916	20225
329	9918	20137
330	9919	20049
331	9921	19962
332	9922	19875
333	9925	19790
334	9927	19706
335	9960	19684
336	9965	19606
337	9971	19530
338	9975	19450
339	9986	19386
340	9989	19304
341	9992	19225
342	9994	19144
343	9997	19065
344	9999	18984
345	10001	18904
346	10003	18824
347	10005	18745
348	10009	18671
349	10011	18593
350	10013	18515
351	10015	18437
352	10017	18360
353	10019	18283
354	10024	18213
355	10026	18138
356	10028	18062
357	10030	17987
358	10032	17913
359	10034	17838
360	10038	17769
361	10040	17696
362	10042	17623
363	10044	17550
364	10046	17478
365	10048	17405
366	10049	17333
367	10051	17262
368	10055	17195
369	10057	17124
370	10058	17053
371	10060	16983
372	10062	16914
373	10063	16844
374	10065	16775
375	10066	16706
376	10070	16640
377	10072	16573
378	10074	16506
379	10076	16440
380	10077	16373
381	10079	16306
382	10081	16240
383	10085	16178
384	10087	16113
385	10089	16048
386	10090	15983
387	10092	15918
388	10093	15854
389	10095	15790
390	10097	15726
391	10101	15668
392	10104	15606
393	10106	15545
394	10109	15483
395	10111	15423
396	10116	15365
397	10118	15304
398	10120	15244
399	10122	15183
400	10124	15123
401	10126	15063
402	10128	15004
403	10132	14947
404	10134	14888
405	10135	14828
406	10137	14769
407	10138	14711
408	10141	14653
409	10142	14595
410	10146	14541
411	10148	14484
412	10150	14426
413	10152	14369
414	10153	14313
415	10155	14256
416	10156	14200
417	10158	14144
418	10161	14090
419	10163	14035
420	10165	13980
421	10167	13926
422	10169	13871
423	10171	13817
424	10172	13763
425	10174	13709
426	10177	13657
427	10179	13604
428	10181	13550
429	10182	13497
430	10184	13445
431	10186	13392
432	10187	13340
433	10189	13288
434	10193	13239
435	10194	13187
436	10196	13136
437	10198	13085
438	10199	13034
439	10201	12983
440	10202	12932
441	10207	12886
442	10209	12836
443	10211	12787
444	10212	12737
445	10214	12687
446	10216	12638
447	10217	12589
448	10219	12540
449	10223	12495
450	10224	12446
451	10226	12398
452	10228	12350
453	10229	12302
454	10231	12255
455	10233	12207
456	10234	12160
457	10236	12114
458	10238	12067
459	10240	12020
460	10241	11974
461	10243	11928
462	10244	11882
463	10246	11836
464	10248	11791
465	10252	11748
466	10254	11703
467	10256	11659
468	10258	11614
469	10260	11569
470	10261	11525
471	10263	11480
472	10266	11438
473	10268	11394
474	10269	11350
475	10271	11307
476	10273	11263
477	10274	11220
478	10276	11177
479	10277	11134
480	10282	11094
481	10284	11052
482	10285	11009
483	10287	10967
484	10289	10925
485	10290	10883
486	10292	10841
487	10296	10802
488	10298	10761
489	10299	10720
490	10301	10678
491	10302	10638
492	10304	10597
493	10306	10556
494	10307	10515
495	10311	10477
496	10313	10437
497	10314	10397
498	10316	10357
499	10317	10317
500	10319	10278
501	10321	10238
502	10322	10199
503	10326	10162
504	10328	10123
505	10330	10085
506	10331	10046
507	10333	10007
508	10334	9969
509	10336	9931
510	10338	9893
511	10341	9857
512	10343	9819
513	10345	9782
514	10347	9745
515	10349	9707
516	10351	9670
517	10353	9633
518	10356	9597
519	10358	9561
520	10360	9525
521	10361	9488
522	10363	9451
523	10364	9415
524	10366	9379
525	10368	9343
526	10373	9310
527	10375	9275
528	10377	9239
529	10379	9204
530	10381	9169
531	10383	9134
532	10388	9101
533	10390	9067
534	10393	9033
535	10395	8999
536	10398	8965
537	10403	8933
538	10407	8901
539	10409	8867
540	10412	8833
541	10414	8800
542	10419	8769
543	10422	8736
544	10425	8703
545	10427	8670
546	10431	8638
547	10435	8607
548	10438	8575
549	10441	8542
550	10443	8510
551	10451	8482
552	10454	8450
553	10456	8418
554	10459	8386
555	10461	8354
556	10466	8324
557	10468	8292
558	10470	8260
559	10472	8228
560	10474	8196
561	10476	8164
562	10477	8132
563	10482	8103
564	10483	8071
565	10485	8039
566	10486	8008
567	10488	7977
568	10489	7945
569	10491	7914
570	10493	7883
571	10497	7854
572	10498	7823
573	10500	7792
574	10501	7762
575	10503	7731
576	10505	7701
577	10506	7670
578	10508	7640
579	10512	7612
580	10513	7582
581	10515	7552
582	10517	7522
583	10518	7492
584	10520	7463
585	10521	7433
586	10523	7404
587	10527	7376
588	10529	7347
589	10531	7318
590	10533	7289
591	10535	7260
592	10536	7231
593	10538	7203
594	10540	7174
595	10543	7146
596	10545	7118
597	10546	7089
598	10548	7061
599	10549	7033
600	10551	7005
601	10552	6976
602	10554	6948
603	10559	6923
604	10561	6895
605	10563	6867
606	10564	6840
607	10566	6812
608	10567	6784
609	10569	6757
610	10572	6731
611	10574	6704
612	10576	6677
613	10577	6650
614	10579	6622
615	10581	6596
616	10582	6569
617	10584	6542
618	10587	6516
619	10589	6490
620	10591	6463
621	10593	6437
622	10595	6411
623	10596	6385
624	10598	6359
625	10603	6335
626	10605	6309
627	10607	6283
628	10609	6257
629	10610	6231
630	10612	6206
631	10614	6180
632	10618	6156
633	10620	6131
634	10622	6105
635	10624	6080
636	10626	6055
637	10628	6030
638	10630	6005
639	10634	5982
640	10637	5957
641	10639	5933
642	10642	5908
643	10644	5883
644	10645	5859
645	10650	5836
646	10652	5812
647	10654	5787
648	10656	5763
649	10658	5739
650	10660	5715
651	10665	5692
652	10667	5668
653	10669	5644
654	10671	5620
655	10673	5597
656	10675	5573
657	10677	5549
658	10679	5526
659	10681	5502
660	10683	5479
661	10685	5455
662	10687	5432
663	10689	5408
664	10693	5386
665	10695	5363
666	10697	5340
667	10699	5317
668	10701	5294
669	10702	5271
670	10704	5248
671	10709	5227
672	10711	5204
673	10713	5181
674	10715	5159
675	10717	5136
676	10718	5114
677	10721	5091
678	10724	5069
679	10726	5047
680	10728	5025
681	10731	5003
682	10733	4981
683	10739	4961
684	10742	4939
685	10744	4918
686	10746	4896
687	10748	4874
688	10750	4852
689	10754	4831
690	10756	4810
691	10757	4788
692	10759	4766
693	10761	4744
694	10762	4723
695	10764	4701
696	10766	4680
697	10768	4659
698	10769	4637
699	10771	4616
700	10773	4595
701	10774	4573
702	10776	4552
703	10778	4531
704	10779	4510
705	10782	4490
706	10784	4469
707	10785	4448
708	10787	4427
